City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
587,Sao Gotardo,BR,75.02,overcast clouds,-19.3111,-46.0489,HOTEL BOMTEMPO
589,Eyl,SO,73.65,clear sky,7.9803,49.8164,Amiin Hotel
591,Haapiti,PF,82.13,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
593,Altamira,BR,84.29,broken clouds,-3.2033,-52.2064,Requinte Hotel
596,Korampallam,IN,77.72,clear sky,8.7667,78.1,Regency Tuticorin by GRT Hotels
598,Kahului,US,74.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
599,Ewa Beach,US,71.69,clear sky,21.3156,-158.0072,Uncle Junior Robert
601,Ambam,CM,77.61,broken clouds,2.3833,11.2833,Escapade De La Vallée
603,Talca,CL,87.91,clear sky,-35.4333,-71.6667,Casa de Huespedes Marbargla
605,Mlonggo,ID,78.53,moderate rain,-6.5333,110.7,Asia Metal Art
