City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Bend,US,44.0582,-121.3153,44.6,57,0,3.0,clear sky
284,Zhezkazgan,KZ,47.8043,67.7144,9.16,78,70,11.43,broken clouds
285,Nouakchott,MR,18.0858,-15.9785,91.33,25,0,7.27,clear sky
286,San Cristobal,VE,7.7669,-72.225,82.08,50,65,0.18,broken clouds
287,Kirakira,SB,-10.4544,161.9205,80.17,84,100,6.67,overcast clouds
288,Tyrma,RU,50.0833,132.1667,-17.7,100,94,1.32,overcast clouds
289,Kruisfontein,ZA,-34.0033,24.7314,65.88,59,99,5.44,overcast clouds
290,Vysokaya Gora,RU,55.9128,49.3017,26.78,97,100,10.09,snow
291,Karratha,AU,-20.7377,116.8463,84.16,69,96,6.4,overcast clouds
292,Santo Antonio,BR,-6.3106,-35.4789,85.96,50,84,11.95,broken clouds
293,Hobyo,SO,5.3505,48.5268,77.02,69,7,16.35,clear sky
294,Umm Lajj,SA,25.0213,37.2685,64.54,45,3,16.91,clear sky
295,Gardendale,US,33.6601,-86.8128,39.2,93,100,10.36,mist
296,Tigil,RU,57.8,158.6667,2.46,91,89,2.89,overcast clouds
297,Codrington,AU,-38.2667,141.9667,55.18,90,47,8.93,scattered clouds
298,Narasannapeta,IN,18.4167,84.05,72.05,89,4,7.38,clear sky
299,Aykhal,RU,66.0,111.5,-24.95,100,79,3.38,broken clouds
300,Puerto Cabezas,NI,14.0351,-83.3888,84.25,55,19,8.21,few clouds
301,Jose De Freitas,BR,-4.7564,-42.5756,88.75,67,100,4.79,overcast clouds
302,Yarmouth,US,41.7057,-70.2286,41.05,97,100,11.5,moderate rain
303,Ngunguru,NZ,-35.6167,174.5,71.17,95,63,13.76,broken clouds
304,Ucluelet,CA,48.9329,-125.5528,47.08,94,100,4.0,overcast clouds
305,Kharp,RU,66.8014,65.8081,9.86,95,100,3.38,overcast clouds
306,Acarau,BR,-2.8856,-40.12,84.34,66,98,15.99,moderate rain
307,Alta Floresta,BR,-9.8756,-56.0861,85.48,69,53,1.86,broken clouds
308,Jumla,NP,29.2747,82.1838,29.08,96,100,3.36,snow
309,Athabasca,CA,54.7169,-113.2854,2.75,96,100,9.01,snow
310,Vittoria,IT,36.9537,14.5332,53.28,93,71,1.14,broken clouds
311,Adrar,MR,20.5022,-10.0711,76.51,8,12,8.28,few clouds
312,Monrovia,LR,6.3005,-10.7969,85.77,71,9,11.14,clear sky
313,Grand Gaube,MU,-20.0064,57.6608,80.38,83,100,8.01,overcast clouds
314,Souillac,MU,-20.5167,57.5167,80.37,94,75,13.8,broken clouds
315,Sampit,ID,-2.5333,112.95,73.62,98,100,1.01,overcast clouds
316,San Policarpo,PH,12.1791,125.5072,76.8,85,100,9.55,overcast clouds
317,Hof,DE,50.3167,11.9167,40.78,89,75,18.41,broken clouds
318,Yulara,AU,-25.2406,130.9889,64.24,59,3,6.91,clear sky
319,Fortuna,US,40.5982,-124.1573,46.74,97,100,5.75,overcast clouds
320,Tolaga Bay,NZ,-38.3667,178.3,62.73,84,7,5.17,clear sky
321,Suntar,RU,62.1444,117.6319,-20.4,100,99,1.68,overcast clouds
322,Kalianget,ID,-7.05,113.9333,78.55,85,66,7.85,broken clouds
323,Pochutla,MX,15.7432,-96.4661,88.83,40,0,8.46,clear sky
324,Tabou,CI,4.423,-7.3528,82.45,72,78,8.16,broken clouds
325,Zalegoshch,RU,52.9008,36.8869,9.79,98,69,6.91,broken clouds
326,Baykit,RU,61.67,96.37,7.3,99,100,3.44,overcast clouds
327,Valeni,RO,46.5928,28.0625,33.08,59,58,4.21,broken clouds
328,Lima,PE,-12.0432,-77.0282,76.39,77,0,1.01,clear sky
329,Alofi,NU,-19.0595,-169.9187,78.62,80,100,22.95,overcast clouds
330,Robertsport,LR,6.7533,-11.3686,81.46,78,20,12.26,few clouds
331,Great Yarmouth,GB,52.6083,1.7305,42.22,77,48,19.19,scattered clouds
332,Kargasok,RU,59.0556,80.8572,22.96,92,100,12.41,overcast clouds
333,Boa Vista,BR,2.8197,-60.6733,89.58,45,75,14.97,light rain
334,Zhanaozen,KZ,43.3,52.8,42.24,76,93,8.12,overcast clouds
335,Kalabo,ZM,-14.97,22.6814,68.99,85,100,5.68,overcast clouds
336,Broken Hill,AU,-31.95,141.4333,66.54,38,97,13.67,overcast clouds
337,Shitanjing,CN,39.2342,106.3439,15.15,35,51,3.49,broken clouds
338,Pitimbu,BR,-7.4706,-34.8086,86.59,61,60,11.63,broken clouds
339,Curuguaty,PY,-24.4694,-55.6945,92.14,43,52,4.81,broken clouds
340,Maracaju,BR,-21.6144,-55.1683,89.62,49,92,16.62,overcast clouds
341,Katherine,AU,-14.4667,132.2667,77.32,94,100,4.61,overcast clouds
342,Longkou,CN,37.6508,120.3286,28.76,42,18,15.46,few clouds
343,Victoria,HK,22.2855,114.1577,58.24,76,34,3.0,scattered clouds
344,Khilok,RU,51.3674,110.4676,-2.96,96,98,4.99,overcast clouds
345,Aksay,RU,47.26,39.87,34.25,96,100,8.01,overcast clouds
